Sentence,Sentiment,Processed_Sentence,Original_Length,Processed_Length,Length_Reduction
"`` Method and System for Controlling a Hard Disk Drive Using a Multimediacard Physical Interface '' was invented by Marko Ahvenainen Ruutana , Finland .",neutral,"`` method system controlling hard disk drive using multimediacard physical interface '' invented marko ahvenainen ruutana , finland .",152,133,0.125
Exports grew 16.5 percent to 19.1 million liters .,positive,exports grew 16.5 percent 19.1 million liters .,50,47,0.06
$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,positive,$amrn accumulating. think BUY_SIGNAL peace. go POSITIVE_MOVE today/tomorrow.,94,76,0.19148936170212766
AB InBev ups offer for SABMiller as deadline looms,positive,ab inbev ups offer sabmiller deadline looms,50,43,0.14
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",negative,"ingenious, hsbc, ubs coutts sued 'tax avoidance' clients",63,56,0.1111111111111111
Finnish forestry company UPM-Kymmene and waste management company Lassila & Tikanoja said on Jan. 30 they were planning to produce ethanol and energy from commercial and industrial waste .,neutral,finnish forestry company upm-kymmene waste management company lassila & tikanoja said jan. 30 planning produce ethanol energy commercial industrial waste .,188,155,0.17553191489361702
"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral,"company disclose details , including anticipated transaction timetable name new investor , within one week .",144,108,0.25
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,positive,japan's asahi submit bid next week sabmiller's grolsch peroni - yomiuri,82,71,0.13414634146341464
VIVUS $VVUS bear raid in effect. Stock down 12%,negative,vivus $vvus BEARISH raid effect. NEGATIVE_MOVE 12%,47,50,-0.06382978723404255
RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,neutral,rt TICKER mu needs -broken now. needs big flush. still technically oversold big bounce yet,124,90,0.27419354838709675
$FB bot some @78.47 breakout from the consolidation zone :D,positive,$fb bot MENTION .47 breakout consolidation zone :d,59,50,0.15254237288135594
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive,"sale , result POSITIVE_MOVE eur 60 million second quarter 2010 oriola-kd , supports finnish company 's strategy focus pharmaceutical wholesale retail operations .",209,162,0.22488038277511962
$CRK time to accumulate for a long position with far more upside than downside,positive,$crk time accumulate BUY_SIGNAL position far upside downside,78,60,0.23076923076923078
The first stage of the contract covers 133 stores and 600 cash registers .,neutral,first stage contract covers 133 stores 600 cash registers .,74,59,0.20270270270270271
Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,negative,juniper tumbles q1 warning; cisco also lower $jnpr $csco,83,56,0.3253012048192771
CompaniesHome Retail trims gains but is considered 'in play',positive,companieshome retail trims POSITIVE_MOVE considered 'in play',60,61,-0.016666666666666666
"On the other hand , Finnish sawmills ' production has decreased even more .",neutral,"hand , finnish sawmills ' production decreased even .",75,53,0.29333333333333333
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,"eero katajavuori , currently group vice president , human resources , take year-BUY_SIGNAL sabbatical starting october 1 , 2010 .",135,129,0.044444444444444446
"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",positive,"divestment line company 's plans focus selected growth segments streamline corporate structure , company explained .",149,116,0.2214765100671141
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",neutral,"adp news - apr 22 , 2009 - finnish business information systems developer solteq oyj hel : stq1v said net loss widened eur 189,000 usd 245,000 first quarter 2009 eur 10,000 peri",219,177,0.1917808219178082
$CAMT Looks like might break down. I'm out,negative,$camt looks like might break NEGATIVE_MOVE.,42,43,-0.023809523809523808
"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",neutral,"operating profit totalled eur 9.6 mn , NEGATIVE_MOVE eur 42.0 mn year .",78,71,0.08974358974358974
"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM .",neutral,"supported nokia phones include : n96 , n95-8gb , n95 , n93-n931 , n92 , n85 , n82 , n81 , n80 , n79 , n78 , n77 , n76 , n75 , n73 , n72 , n71 , e90 , e71 , e70 , e66 , e65 , e62 , e61-e61i , e60 , e51 , e50 , touch xpress 5800 , 6220 classic , 6210 navigator , 6120 classic , 6110 navigator , 5700 , 5500 , 5320xm .",315,315,0.0
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,finnish rautaruukki selling precision tube automotive component processing unit carl froh germany german arques industries .,141,124,0.12056737588652482
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,"operating profit net sales 12-month period increased , respectively eur4 .7 eur26 .7 , compared 2004 .",138,102,0.2608695652173913
$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,positive,$gild chart: $ibb back support.,65,31,0.5230769230769231
The companies signed the letter of intent for the sale on 17 September 2010 and envisaged to seal the actual agreement on 1 January 2011 .,neutral,companies signed letter intent sale 17 september 2010 envisaged seal actual agreement 1 january 2011 .,138,102,0.2608695652173913
"BHP Billiton posts big loss, slashes dividend",negative,"bhp billiton posts big loss, slashes dividend",45,45,0.0
"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",neutral,"prior transaction , whose financial terms disclosed , alma media owned 40 % kotikokki net .",115,91,0.20869565217391303
Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,positive,sponda record profit sale 8.5 mln euro ($ 12.4 mln).,71,52,0.2676056338028169
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",positive,"looking forward contribute srv 's success competence '' , says taneli hassinen .",99,80,0.1919191919191919
Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,neutral,gunneflo responsible oriola-kd 's pharmaceutical trade business sweden .,86,72,0.16279069767441862
The company expects its net sales for the whole 2009 to remain below the 2008 level .,negative,company expects net sales whole 2009 remain 2008 level .,85,56,0.3411764705882353
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",positive,"$p BULLISH flag daily, earnings table tomorrow +/-12 move.will straddle one earnings..lots vol guaranteed",134,105,0.21641791044776118
"Currently it operates a fleet of eight carriers , as well as nine pushers and barges .",neutral,"currently operates fleet eight carriers , well nine pushers barges .",86,68,0.20930232558139536
"The mill 's raw material need will increase by 100,000 m3 of wood .",neutral,"mill 's raw material need increase 100,000 m3 wood .",67,52,0.22388059701492538
News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,neutral,news corp. 's myspace.com web site display submissions expanded broadband emmy awards part effort identify aspiring video artists .,156,131,0.16025641025641027
Persimmon share price climbs on 23% rise in full-year revenue,positive,persimmon climbs 23% POSITIVE_MOVE full-year revenue,61,52,0.14754098360655737
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",negative,"result transactions , aggregate holdings burrill life sciences capital fund , l.p. decreased 5 per cent total number votes company .",191,132,0.3089005235602094
The contract is for next year .,neutral,contract next year .,31,20,0.3548387096774194
"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",neutral,"customers wave cards front reader make payments , similar `` touch go '' cards used transport systems .",126,103,0.18253968253968253
"SINGAPORE ( ICIS ) -- ( 1 ) Kemira and Indian water infrastructure firm ( 2 ) IVRCL have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in Andhra Pradesh state , India , the Finnish water treatment chemicals maker said on Tuesday .",positive,"singapore ( icis ) -- ( 1 ) kemira indian water infrastructure firm ( 2 ) ivrcl agreed form join venture includes new inorganic coagulant manufacturing facility andhra pradesh state , india , finnish water treatment chemicals maker said tuesday .",278,246,0.11510791366906475
Measures will be launched immediately and are due to be finalized in the first quarter of 2010 .,neutral,measures launched immediately due finalized first quarter 2010 .,96,64,0.3333333333333333
"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn .",positive,"operating profit eur 11.07 mn , POSITIVE_MOVE eur 8.65 mn .",57,59,-0.03508771929824561
Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V .,neutral,dutch publisher de vijver said agreed BUY_SIGNAL 49 % stake belgian weekly magazine humo finnish media company sanoma hel : saa1v .,150,131,0.12666666666666668
Shire CEO steps up drive to get Baxalta board talking,positive,shire ceo steps POSITIVE_MOVE drive get baxalta board talking,53,61,-0.1509433962264151
"The total headcount reduction will be 50 persons , the company said .",negative,"total headcount reduction 50 persons , company said .",69,53,0.2318840579710145
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,positive,clothing chain sepp+ñl+ñ 's net sales increased 7.0 % eur 30.8 mn .,73,67,0.0821917808219178
"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",positive,"return investment 5.0 % , compared negative 4.1 % 2009 .",71,56,0.2112676056338028
"The permanent magnet generators and power converters are today the preferred solution in new wind turbine designs , the company said .",neutral,"permanent magnet generators power converters preferred solution new wind turbine designs , company said .",134,105,0.21641791044776118
The financial details of the acquisition were not disclosed .,neutral,financial details acquisition disclosed .,61,41,0.32786885245901637
"Proving that good cellphone design is truly a work of art , the website for the Nokia 6131 provides a colorful canvas for the expression of mobile-inspired sentiments .",positive,"proving good cellphone design truly work art , website nokia 6131 provides colorful canvas expression mobile-inspired sentiments .",168,130,0.2261904761904762
The GyPSii mobile social networking application is available in China with both Chinese and English language support .,neutral,gypsii mobile social networking application available china chinese english language support .,118,94,0.2033898305084746
"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .",positive,"tower chose add , due go operation summer , increase total capacity 80 broadsheet 160 tabloid pages , ability run 32 - 48-page products side side .",202,147,0.2722772277227723
"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",neutral,"capman , asset manager , eur 3bn worth assets management nordic region .",95,72,0.24210526315789474
"It is a member of the OneWorld alliance , which includes American Airlines and British Airways .",neutral,"member oneworld alliance , includes american airlines british airways .",96,71,0.2604166666666667
The total investment of the project will be approximately EUR 36m .,neutral,total investment project approximately eur 36m .,67,48,0.2835820895522388
"In addition , the existing service counter area in the reception hall will be rebuilt and access provided to local rail connections .",neutral,"addition , existing service counter area reception hall rebuilt access provided local rail connections .",133,104,0.21804511278195488
"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",neutral,"goodwill intangible assets account 2.0 mln euro ( $ 2.6 mln ) purchase , 20 pct payable aspo .",145,94,0.35172413793103446
The bank sees a potential for Getinge share to rise .,positive,bank sees potential getinge POSITIVE_MOVE .,53,43,0.18867924528301888
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,new plant planned electricity generation capacity POSITIVE_MOVE 350 megawatts ( mw ) heat generation capacity .,137,111,0.1897810218978102
"Approximately SEK 166 million in repayments has been demanded for overcharging in the Stockholm area , with the remaining SEK 87 million taken from the Western coast , the inspectorate said .",neutral,"approximately sek 166 million repayments demanded overcharging stockholm area , remaining sek 87 million taken western coast , inspectorate said .",191,146,0.2356020942408377
"The company expects its net sales for the whole of 2007 to be EUR 950mn-1 ,000 mn .",neutral,"company expects net sales whole 2007 eur 950mn-1 ,000 mn .",83,58,0.30120481927710846
Net interest income increased by 4.5 % to EUR 31.4 mn from EUR 30.0 mn in 2004 .,positive,net interest income increased 4.5 % eur 31.4 mn eur 30.0 mn 2004 .,80,66,0.175
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",neutral,"sale result capital loss eur5m solidium , obtained tikkurila march 2010 .",110,73,0.33636363636363636
"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive,"launch new 3g handsets , nokia aims become winner china 's 3g 2g .",119,66,0.44537815126050423
"We know that it exists , '' Artemyev said .",neutral,"know exists , '' artemyev said .",43,32,0.2558139534883721
Aspocomp has repaid its interest bearing liability to Standard Chartered Bank and will use the rest of the consideration to partially repay its interest bearing liabilities in Finland and to improve its liquidity .,positive,aspocomp repaid interest bearing liability standard chartered bank use rest consideration partially repay interest bearing liabilities finland improve liquidity .,214,162,0.24299065420560748
The bridge will be built to the south of the existing bridge spanning the strait .,neutral,bridge built south existing bridge spanning strait .,82,52,0.36585365853658536
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",neutral,"huhtamaki oyj exchange release 16.12.2008 09:30 huhtamaki oyj resolved clarify group structure separating foodservice consumer goods businesses production unit hameenlinna , finland transferring businesses wholly owned subsidiaries .",290,233,0.19655172413793104
"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .",positive,"company 's operating income ( ebit ) totalled eur 0.0 mn , POSITIVE_MOVE eur -0.3 mn year-on-year .",97,99,-0.020618556701030927
1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,positive,1 february 2011 - finnish textile clothing company marimekko oyj hel : mmo1v said preliminary operating profit grew eur8 .2 2010 eur6 .3 2009 .,175,143,0.18285714285714286
The company 's board of directors will propose a dividend of EUR 0.14 for 2008 at the annual general meeting .,neutral,company 's board directors propose dividend eur 0.14 2008 annual general meeting .,110,82,0.2545454545454545
"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 .",neutral,"lemminkainen infra oy 's subsidiary lemminkainen sverige ab perform construction work , expected start early 2011 completed summer 2013 .",181,137,0.2430939226519337
1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum .,neutral,1 april 2011 - finnish machinery rental company ramirent oyj hel : rmr1v said acquired assets sector player stavebni doprava mechanizace sdm czech republic undisclosed sum .,209,173,0.1722488038277512
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,positive,refile-update 4-britain's lloyds pay first dividend since rescue,67,64,0.04477611940298507
"The closing of the transaction is scheduled to take place on January 10 , 2008 .",neutral,"closing transaction scheduled take place january 10 , 2008 .",80,60,0.25
The inventor was issued U.S. Patent No. .,neutral,inventor issued u.s. patent no. .,41,33,0.1951219512195122
"Ethanol would be made from barley , and production could start in 2008 .",neutral,"ethanol would made barley , production could start 2008 .",72,57,0.20833333333333334
The company 's market share is continued to increase further .,positive,company 's continued increase .,62,31,0.5
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,neutral,danish company flsmidth acknowledged violated patent held finnish metso .,94,73,0.22340425531914893
"Having a China based operation will not only enable us to fully leverage our resources and expertise in wireless solutions , but also strengthen our capability to offer industry-leading products for our customers in China . ''",positive,"china based operation enable us fully leverage resources expertise wireless solutions , also strengthen capability offer industry-leading products customers china . ''",226,167,0.2610619469026549
"According to Tyrv+ñinen 's estimation , Japan is a very essential location in terms of Finnair 's Asian strategy .",neutral,"according tyrv+ñinen 's estimation , japan essential location terms finnair 's asian strategy .",114,95,0.16666666666666666
"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .",neutral,"fortum expects annual capital expenditure next four five years within range eur 0.8-1 .2 billion , earlier announced .",146,118,0.1917808219178082
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,neutral,basware business transactions service enables customer receive send invoices electronic format .,113,96,0.1504424778761062
The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .,neutral,transaction planned financed eur40m market-based loan granted standard chartered bank hong kong .,120,97,0.19166666666666668
"As a result , the number of personnel in Finland will be reduced by 158 .",neutral,"result , number personnel finland reduced 158 .",73,47,0.3561643835616438
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"$esi lows, NEGATIVE_ TICKER 1.50 $2.50 bk real possibility",55,58,-0.05454545454545454
Teleste BK Optiflex amplifier products will be used in ongoing capacity upgrade of KDG 's network to bi-directionality .,neutral,teleste bk optiflex amplifier products used ongoing capacity upgrade kdg 's network bi-directionality .,120,103,0.14166666666666666
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",negative,"operating loss totaled eur 0.8 mn , compared profit eur 0.5 mn .",72,64,0.1111111111111111
$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive,$nflx vision : SELL_SIGNAL term consolidation movement higher,81,61,0.24691358024691357
$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,positive,$ebay nice breakout recent consolidation. congrats it.,104,54,0.4807692307692308
$YELP This goes green and so many shorts are toast!,positive,$yelp goes POSITIVE_MOVE many shorts toast!,51,43,0.1568627450980392
SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral,sampo plc jarmo salonen head investor relations group communications tel. +358 10 516 0030 distribution : nasdaq omx helsinki principal media financial supervisory authority announcement distributed thomson reuters behalf thomson reuters clients .,289,247,0.1453287197231834
"Furthermore , efficiency improvement measures initiated earlier are now bearing fruit , '' CEO Jan Lang said .",positive,"furthermore , efficiency improvement measures initiated earlier bearing fruit , '' ceo jan lang said .",110,102,0.07272727272727272
$TSLA is now up 57% from its February low. Amazing rebound.,positive,$tsla POSITIVE_MOVE 57% february low. amazing rebound.,59,54,0.0847457627118644
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",positive,"$slw NEGATIVE_MOVE, weekly $34 BUY_SIGNAL (-28.95%), .23 x .25 321 volume. worth chance here, jmho:",119,99,0.16806722689075632
"Ahlstrom , headquartered in Helsinki , Finland , is a global company involved in the development , manufacture and marketing of high performance fibre-based materials .",neutral,"ahlstrom , headquartered helsinki , finland , global company involved development , manufacture marketing high performance fibre-based materials .",168,146,0.13095238095238096
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",negative,"result , company temporarily lay-off 25 % whole personnel , approximately 270 persons kirkkonummi nivala factories .",144,116,0.19444444444444445
"Stora Enso 's business in North America has annual capacity of about 3 million tons and employs about 4,350 people .",neutral,"stora enso 's business north america annual capacity 3 million tons employs 4,350 people .",116,90,0.22413793103448276
The measures result from weak demand in the shipbuilding industry .,negative,measures result weak demand shipbuilding industry .,67,51,0.23880597014925373
"Last month , Outokumpu sold more than 80 percent of its technology unit , Outokumpu Technology Oyj , to further its strategic goal of becoming the world 's largest stainless steel maker .",positive,"last month , outokumpu sold 80 percent technology unit , outokumpu technology oyj , strategic goal becoming world 's largest stainless steel maker .",187,148,0.20855614973262032
$ISRG Break out confirmed. Bought Leaps. Good trading!,positive,$isrg break confirmed. bought leaps. good trading!,54,50,0.07407407407407407
"FDA approves NPS drug, in move validating Shire takeover deal",positive,"fda approves nps drug, move validating shire takeover deal",61,58,0.04918032786885246
The Board of Directors has proposed the Extraordinary General Meeting to authorise the Board to decide on the issuance of a maximum of 30mn new shares in one or more share issues .,neutral,board directors proposed extraordinary general meeting authorise board decide issuance maximum 30mn new one issues .,180,116,0.35555555555555557
"Founded in 1994 , the company uses a six-step , time-focused , collaborative project approach to improve financial institutions ' revenue streams .",neutral,"founded 1994 , company uses six-step , time-focused , collaborative project approach improve financial institutions ' revenue streams .",147,135,0.08163265306122448
"The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was registered with the Finnish Trade Register on January 4 , 2008 .",neutral,"corresponding increase capital due subscriptions warrants , total eur 1,860.74 , registered finnish trade register january 4 , 2008 .",187,133,0.2887700534759358
Earnings per share EPS amounted to EUR0 .01 .,neutral,earnings per eps amounted eur0 .01 .,45,36,0.2
"Latin America currently accounts for approximately 40 % of sales at Tecnotree , company president and CEO Eero Mertano recently told BNamericas .",neutral,"latin america currently accounts approximately 40 % sales tecnotree , company president ceo eero mertano recently told bnamericas .",145,131,0.09655172413793103
"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",neutral,"company said operations sold newly established company , cps gmbh , present management plastics business co-owner .",163,115,0.294478527607362
This would be a huge process .,neutral,would huge process .,30,20,0.3333333333333333
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,positive,TICKER clne gasoline spike california.,73,38,0.4794520547945205
"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",neutral,"2007 , group 's net sales stood eur 42 million 1,445 employees .",91,64,0.2967032967032967
$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,negative,$xlb weakest sector year possible false breakout,82,48,0.4146341463414634
Financial terms were n't disclosed .,neutral,financial terms n't disclosed .,36,31,0.1388888888888889
About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .,positive,elcoteq elcoteq se leading electronics manufacturing services ( ems ) company communications technology field .,129,111,0.13953488372093023
Efore has decided to establish a company for eletric vehicle ( EV ) business in China .,neutral,efore decided establish company eletric vehicle ( ev ) business china .,87,71,0.1839080459770115
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",neutral,"motorola accounted 11.5 percent south korean handset end april , samsung held 55 percent lg electronics 19 percent , according korea-based atlas research group .",199,161,0.19095477386934673
$mako hanging in well today. still in a basing pattern. have eyes on it,positive,$mako hanging well today. still basing pattern. eyes,71,52,0.2676056338028169
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",positive,"wpp, world's largest ad agency, reports strong 2015 growth",58,58,0.0
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",positive,"eu NEGATIVE_MOVE shell, bp, statoil ethanol benchmark investigation",64,67,-0.046875
"The plant is scheduled for completion in late February 2007 with hand over of some areas in January Two other suppliers of Nokia - Aspocomp Group Oyj and Perlos - have announced their plans to establish plants within the Nokia complex Together , they will invest Rs 365 crore .",neutral,"plant scheduled completion late february 2007 hand areas january two suppliers nokia - aspocomp group oyj perlos - announced plans establish plants within nokia complex together , invest rs 365 crore .",277,201,0.2743682310469314
"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",positive,"`` delighted announce support intel based handheld platforms , capabilities made development easier faster .",152,108,0.2894736842105263
I see a 20 percent upside in $FB shares from here,positive,see 20 percent upside $fb,49,25,0.4897959183673469
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive,"( adp news ) - dec 11 , 2008 - finnish construction engineering company outotec oyj ( omx : ote1v ) said eur 28 million ( usd 36.8 ) order expand phosphate concentrator siilinjarvi norwegian minera",231,197,0.1471861471861472
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,coke dividend - 3%. google dividend - 0%. passive income coke takes it. $goog $ko,109,81,0.25688073394495414
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,$aapl afternoon selloff usual brutal. get ready lose ton money.,82,63,0.23170731707317074
Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,positive,facebook $fb received BUY_SIGNAL rating wells fargo 5-star analyst peter stabler (wells fargo),118,94,0.2033898305084746
"In the Baltic countries , Atria 's target is organic growth .",neutral,"baltic countries , atria 's target organic growth .",61,51,0.16393442622950818
Sainsbury sales slip again as price pressures take a toll,negative,sainsbury sales slip pressures take toll,57,40,0.2982456140350877
"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices .",neutral,"sarantel , based wellingborough , uk , designs high-performance antennas portable wireless devices .",107,100,0.06542056074766354
Etteplan targets to employ at least 20 people in Borl+ñnge .,positive,etteplan targets employ least 20 people borl+ñnge .,60,51,0.15
"As part of the transaction , M-real and Sappi have also signed a long-term agreement on the supply of pulp and BCTMP and other smaller services and supplies .",positive,"part transaction , m-real sappi also signed BUY_SIGNAL-term agreement supply pulp bctmp smaller services supplies .",158,115,0.2721518987341772
`` Russia is ready to participate in an open tender for Lattelecom 's privatization .,neutral,`` russia ready participate open tender lattelecom 's privatization .,85,69,0.18823529411764706
"It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights .",neutral,"owns 80,565 amer sports corporation , equaling 0.11 % company 's capital voting rights .",122,88,0.2786885245901639
The company reports a loss for the period of EUR 0.4 mn compared to a loss of EUR 1.9 mn in the corresponding period in 2005 .,positive,company reports loss period eur 0.4 mn compared loss eur 1.9 mn corresponding period 2005 .,126,91,0.2777777777777778
$NEON oversold,positive,$neon oversold,14,14,0.0
Stockmann was established in 1862 in Finland and it became the first foreign company to enter Russia 's retail trade market in 1989 .,neutral,stockmann established 1862 finland became first foreign company enter russia 's retail trade 1989 .,133,99,0.2556390977443609
"It 's `` finger-friendly '' , and to my opinion , really fast .",neutral,"'s `` finger-friendly '' , opinion , really fast .",63,50,0.20634920634920634
Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter .,neutral,analysts surveyed thomson financial expected revenue $ 69 million quarter .,89,75,0.15730337078651685
The EPS outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,positive,eps outlook increased 5.6 pct 2007 7.0 pct 2008 .,72,49,0.3194444444444444
The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands .,neutral,remote radio head module available 4w power 2.5 ghz 3.5 ghz tdd frequency bands .,104,81,0.22115384615384615
$TSLA announces a recall and the stock doesn't sell off. This stock is teflon. Won't last forever.,positive,$tsla announces recall SELL_SIGNAL off. teflon. last forever.,98,61,0.37755102040816324
Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,positive,finnish lifting equipment maker konecranes hel : kcr1v said 29 july 2009 raised stake austrian manipulator maker acs konecranes 80 % bought german sector player knight europe .,200,176,0.12
"The company 's transportation business is conducted through Florida Rock & Tank Lines , which is a Southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodities .",neutral,"company 's transportation business conducted florida rock & tank lines , southeastern transportation company concentrating hauling motor carrier liquid dry bulk commodities .",217,174,0.19815668202764977
The company did not distribute a dividend in 2005 .,neutral,company distribute dividend 2005 .,51,34,0.3333333333333333
